Category,Order Date,Sales
Beverages,20-01-2015,1768
"Eggs, Meat & Fish",20-01-2015,2325
Beverages,20-01-2015,1393
Food Grains,21-01-2015,2312
Bakery,23-01-2015,1604
"Eggs, Meat & Fish",23-01-2015,2314
Fruits & Veggies,26-01-2015,1050
Oil & Masala,26-01-2015,1350
Beverages,26-01-2015,666
Fruits & Veggies,26-01-2015,2122
Oil & Masala,26-01-2015,1916
Food Grains,26-01-2015,1384
Food Grains,26-01-2015,1991
Snacks,26-01-2015,1354
Snacks,26-01-2015,2431
Fruits & Veggies,27-01-2015,1394
Beverages,27-01-2015,540
Bakery,27-01-2015,2370
Snacks,28-01-2015,636
Fruits & Veggies,30-01-2015,2262
Fruits & Veggies,30-01-2015,1906
"Eggs, Meat & Fish",31-01-2015,1820
Beverages,01-02-2015,1338
Oil & Masala,02-02-2015,904
Fruits & Veggies,02-02-2015,525
Snacks,02-02-2015,612
Oil & Masala,03-02-2015,1546
Oil & Masala,03-02-2015,1015
Oil & Masala,04-02-2015,1033
Bakery,04-02-2015,512
Food Grains,04-02-2015,1871
Oil & Masala,06-02-2015,1592
"Eggs, Meat & Fish",06-02-2015,1863
"Eggs, Meat & Fish",06-02-2015,2477
Fruits & Veggies,06-02-2015,1699
Fruits & Veggies,07-02-2015,740
Snacks,07-02-2015,1724
Snacks,08-02-2015,1624
Food Grains,11-02-2015,1209
"Eggs, Meat & Fish",11-02-2015,1337
Bakery,11-02-2015,1774
Beverages,11-02-2015,2010
"Eggs, Meat & Fish",11-02-2015,2333
Bakery,11-02-2015,1151
Snacks,11-02-2015,2261
Snacks,11-02-2015,1695
"Eggs, Meat & Fish",11-02-2015,1772
Food Grains,12-02-2015,2142
"Eggs, Meat & Fish",14-02-2015,652
Bakery,14-02-2015,1392
Bakery,14-02-2015,1275
Bakery,14-02-2015,1809
"Eggs, Meat & Fish",15-02-2015,1460
Fruits & Veggies,16-02-2015,2490
Fruits & Veggies,16-02-2015,2003
Fruits & Veggies,17-02-2015,1090
Snacks,18-02-2015,527
Food Grains,18-02-2015,547
Fruits & Veggies,20-02-2015,1808
Oil & Masala,20-02-2015,1319
Beverages,20-02-2015,602
Oil & Masala,21-02-2015,1896
"Eggs, Meat & Fish",22-02-2015,1618
Food Grains,23-02-2015,2085
Food Grains,23-02-2015,1120
Beverages,24-02-2015,672
Snacks,24-02-2015,946
Beverages,27-02-2015,1960
Oil & Masala,01-03-2015,2262
Bakery,01-03-2015,1023
"Eggs, Meat & Fish",01-03-2015,527
Oil & Masala,01-03-2015,1774
Snacks,01-03-2015,1822
Fruits & Veggies,01-03-2015,1620
Beverages,01-03-2015,2238
Fruits & Veggies,01-03-2015,851
Beverages,01-03-2015,1228
Beverages,01-03-2015,1818
"Eggs, Meat & Fish",02-03-2015,1919
Snacks,02-03-2015,1823
Oil & Masala,02-03-2015,1733
Food Grains,02-03-2015,2400
Oil & Masala,03-03-2015,1289
Beverages,03-03-2015,2413
Fruits & Veggies,03-03-2015,1393
"Eggs, Meat & Fish",03-03-2015,2173
"Eggs, Meat & Fish",03-03-2015,861
Snacks,03-03-2015,1719
"Eggs, Meat & Fish",03-03-2015,1570
"Eggs, Meat & Fish",03-03-2015,2472
"Eggs, Meat & Fish",03-03-2015,2079
Food Grains,04-03-2015,1450
Snacks,04-03-2015,1304
"Eggs, Meat & Fish",05-03-2015,1568
Food Grains,05-03-2015,2433
Bakery,05-03-2015,1330
Beverages,05-03-2015,2321
Snacks,05-03-2015,948
Oil & Masala,07-03-2015,2014
"Eggs, Meat & Fish",07-03-2015,823
"Eggs, Meat & Fish",07-03-2015,997
Beverages,07-03-2015,2290
Bakery,07-03-2015,578
Snacks,07-03-2015,1654
Fruits & Veggies,07-03-2015,1182
Snacks,07-03-2015,610
"Eggs, Meat & Fish",10-03-2015,1541
"Eggs, Meat & Fish",10-03-2015,2275
Snacks,10-03-2015,2076
Oil & Masala,11-03-2015,1400
"Eggs, Meat & Fish",11-03-2015,1975
Bakery,11-03-2015,752
Fruits & Veggies,11-03-2015,2401
Bakery,11-03-2015,2381
Fruits & Veggies,11-03-2015,2251
Bakery,11-03-2015,1189
"Eggs, Meat & Fish",11-03-2015,1008
Beverages,14-03-2015,2018
Bakery,14-03-2015,2233
Bakery,14-03-2015,1985
Oil & Masala,14-03-2015,2331
Oil & Masala,14-03-2015,1572
Fruits & Veggies,14-03-2015,1233
"Eggs, Meat & Fish",14-03-2015,1882
Beverages,14-03-2015,1850
Oil & Masala,14-03-2015,886
Beverages,14-03-2015,1146
"Eggs, Meat & Fish",14-03-2015,1414
Beverages,15-03-2015,1577
Oil & Masala,15-03-2015,2289
Snacks,15-03-2015,2110
Beverages,15-03-2015,2092
Beverages,15-03-2015,2269
Snacks,16-03-2015,2029
Bakery,17-03-2015,2191
Oil & Masala,17-03-2015,2189
"Eggs, Meat & Fish",17-03-2015,1318
Fruits & Veggies,17-03-2015,730
Fruits & Veggies,17-03-2015,1082
Snacks,17-03-2015,1234
Snacks,17-03-2015,1126
"Eggs, Meat & Fish",17-03-2015,2351
Beverages,17-03-2015,1576
Beverages,17-03-2015,1890
"Eggs, Meat & Fish",17-03-2015,697
Beverages,17-03-2015,1839
Beverages,17-03-2015,2433
Oil & Masala,17-03-2015,2009
Snacks,17-03-2015,2390
Bakery,17-03-2015,1727
Oil & Masala,17-03-2015,640
Food Grains,17-03-2015,792
Oil & Masala,17-03-2015,1519
Fruits & Veggies,18-03-2015,1970
Oil & Masala,18-03-2015,978
"Eggs, Meat & Fish",18-03-2015,876
Bakery,18-03-2015,1418
Beverages,18-03-2015,2379
Fruits & Veggies,18-03-2015,618
Snacks,18-03-2015,1694
Snacks,18-03-2015,1647
Snacks,18-03-2015,1534
Snacks,18-03-2015,1843
Snacks,18-03-2015,983
"Eggs, Meat & Fish",19-03-2015,2221
Fruits & Veggies,19-03-2015,824
Beverages,19-03-2015,2306
Bakery,19-03-2015,531
Beverages,19-03-2015,1253
Bakery,19-03-2015,1105
Bakery,19-03-2015,1818
Food Grains,21-03-2015,2362
Snacks,21-03-2015,2230
"Eggs, Meat & Fish",21-03-2015,2298
Snacks,21-03-2015,915
Bakery,21-03-2015,1987
Oil & Masala,21-03-2015,1006
Beverages,21-03-2015,2408
Bakery,21-03-2015,1409
Snacks,21-03-2015,1192
Snacks,21-03-2015,885
Fruits & Veggies,21-03-2015,1366
Bakery,22-03-2015,2264
Fruits & Veggies,22-03-2015,668
Oil & Masala,22-03-2015,2140
Food Grains,22-03-2015,2173
Bakery,22-03-2015,1410
Food Grains,23-03-2015,2180
Beverages,23-03-2015,1813
Food Grains,23-03-2015,1151
Oil & Masala,24-03-2015,2053
"Eggs, Meat & Fish",24-03-2015,1758
Fruits & Veggies,25-03-2015,2264
Beverages,25-03-2015,2137
Beverages,25-03-2015,1539
"Eggs, Meat & Fish",25-03-2015,1951
Bakery,25-03-2015,1864
Beverages,26-03-2015,709
Beverages,26-03-2015,697
Fruits & Veggies,26-03-2015,1449
Food Grains,26-03-2015,2396
"Eggs, Meat & Fish",26-03-2015,1953
Fruits & Veggies,28-03-2015,959
"Eggs, Meat & Fish",28-03-2015,1067
Oil & Masala,28-03-2015,783
Beverages,28-03-2015,2028
Food Grains,29-03-2015,1726
Food Grains,30-03-2015,845
Food Grains,30-03-2015,559
Fruits & Veggies,30-03-2015,1415
Bakery,30-03-2015,2392
Beverages,30-03-2015,520
Oil & Masala,30-03-2015,735
Fruits & Veggies,30-03-2015,1738
Oil & Masala,30-03-2015,2055
Beverages,30-03-2015,763
Oil & Masala,31-03-2015,640
Oil & Masala,31-03-2015,1174
Fruits & Veggies,31-03-2015,862
Food Grains,31-03-2015,2150
Beverages,31-03-2015,989
Snacks,31-03-2015,1055
"Eggs, Meat & Fish",31-03-2015,616
Snacks,31-03-2015,2330
Fruits & Veggies,31-03-2015,723
Oil & Masala,01-04-2015,2372
Beverages,01-04-2015,1073
Oil & Masala,01-04-2015,2308
"Eggs, Meat & Fish",01-04-2015,827
Oil & Masala,02-04-2015,1664
Snacks,02-04-2015,1134
Beverages,02-04-2015,1517
Fruits & Veggies,02-04-2015,1826
Oil & Masala,02-04-2015,1776
Snacks,02-04-2015,2023
Oil & Masala,03-04-2015,1416
Fruits & Veggies,03-04-2015,1900
"Eggs, Meat & Fish",03-04-2015,2209
Snacks,04-04-2015,983
Fruits & Veggies,04-04-2015,1500
Bakery,04-04-2015,1501
"Eggs, Meat & Fish",04-04-2015,1016
Snacks,04-04-2015,1613
Fruits & Veggies,04-04-2015,1593
Oil & Masala,04-04-2015,1075
Oil & Masala,04-04-2015,1904
Bakery,05-04-2015,2052
Snacks,05-04-2015,2123
Snacks,05-04-2015,1495
Food Grains,05-04-2015,2371
Oil & Masala,05-04-2015,1108
Oil & Masala,05-04-2015,1472
Food Grains,05-04-2015,985
Snacks,05-04-2015,1844
Beverages,05-04-2015,1471
Snacks,05-04-2015,2349
Oil & Masala,05-04-2015,1143
"Eggs, Meat & Fish",05-04-2015,1882
Fruits & Veggies,05-04-2015,565
Fruits & Veggies,06-04-2015,2259
Snacks,06-04-2015,1468
Beverages,06-04-2015,1024
Snacks,06-04-2015,813
"Eggs, Meat & Fish",06-04-2015,823
Beverages,06-04-2015,1801
"Eggs, Meat & Fish",06-04-2015,523
Snacks,06-04-2015,1869
Oil & Masala,06-04-2015,1556
Beverages,06-04-2015,627
Fruits & Veggies,06-04-2015,1146
Bakery,06-04-2015,701
Snacks,06-04-2015,1000
Fruits & Veggies,07-04-2015,1125
Bakery,07-04-2015,2156
Bakery,07-04-2015,589
Oil & Masala,07-04-2015,1486
Oil & Masala,07-04-2015,1337
Snacks,08-04-2015,640
Snacks,08-04-2015,1523
Oil & Masala,08-04-2015,2451
Beverages,08-04-2015,1659
Oil & Masala,08-04-2015,2330
Snacks,08-04-2015,978
Beverages,08-04-2015,1955
Beverages,11-04-2015,1784
Oil & Masala,11-04-2015,1455
"Eggs, Meat & Fish",11-04-2015,1559
Oil & Masala,11-04-2015,682
Bakery,11-04-2015,1651
Beverages,11-04-2015,1867
Fruits & Veggies,11-04-2015,1374
"Eggs, Meat & Fish",11-04-2015,2221
Bakery,11-04-2015,1359
Oil & Masala,12-04-2015,1200
Beverages,12-04-2015,1554
Fruits & Veggies,12-04-2015,1926
Oil & Masala,12-04-2015,1059
Fruits & Veggies,12-04-2015,1890
Bakery,12-04-2015,1074
"Eggs, Meat & Fish",13-04-2015,1132
Beverages,13-04-2015,2095
Oil & Masala,13-04-2015,1697
"Eggs, Meat & Fish",13-04-2015,1716
Fruits & Veggies,13-04-2015,1561
Oil & Masala,15-04-2015,2286
"Eggs, Meat & Fish",15-04-2015,2329
Snacks,16-04-2015,1748
Beverages,18-04-2015,2314
Fruits & Veggies,18-04-2015,2044
Beverages,18-04-2015,2095
Fruits & Veggies,18-04-2015,1028
"Eggs, Meat & Fish",18-04-2015,2389
Beverages,18-04-2015,1350
Food Grains,18-04-2015,1792
Bakery,18-04-2015,1342
Bakery,19-04-2015,1575
Bakery,19-04-2015,2341
Food Grains,19-04-2015,2287
Fruits & Veggies,20-04-2015,801
Bakery,20-04-2015,2363
Beverages,20-04-2015,2131
Beverages,20-04-2015,1030
Oil & Masala,21-04-2015,1143
Food Grains,21-04-2015,1344
Food Grains,22-04-2015,1780
Beverages,22-04-2015,770
Food Grains,23-04-2015,672
Oil & Masala,23-04-2015,2181
Snacks,23-04-2015,1229
Oil & Masala,23-04-2015,866
Fruits & Veggies,23-04-2015,2402
Oil & Masala,23-04-2015,1630
Oil & Masala,25-04-2015,2139
Fruits & Veggies,25-04-2015,2344
"Eggs, Meat & Fish",25-04-2015,1881
"Eggs, Meat & Fish",25-04-2015,1108
Snacks,25-04-2015,1553
"Eggs, Meat & Fish",25-04-2015,2145
"Eggs, Meat & Fish",26-04-2015,1265
Snacks,26-04-2015,1184
Bakery,26-04-2015,1244
Food Grains,26-04-2015,828
Snacks,28-04-2015,644
Beverages,28-04-2015,2018
Beverages,28-04-2015,1797
Beverages,28-04-2015,1027
Snacks,28-04-2015,719
Snacks,28-04-2015,2020
Oil & Masala,28-04-2015,725
Fruits & Veggies,28-04-2015,1077
Beverages,28-04-2015,876
Snacks,29-04-2015,1531
Beverages,29-04-2015,1102
Snacks,29-04-2015,804
"Eggs, Meat & Fish",29-04-2015,1243
Food Grains,29-04-2015,570
Food Grains,29-04-2015,1705
Snacks,30-04-2015,2032
"Eggs, Meat & Fish",30-04-2015,870
Oil & Masala,30-04-2015,760
Bakery,02-05-2015,2463
Oil & Masala,02-05-2015,537
Bakery,03-05-2015,994
Food Grains,03-05-2015,558
"Eggs, Meat & Fish",03-05-2015,1407
Fruits & Veggies,04-05-2015,2244
Oil & Masala,04-05-2015,590
Food Grains,04-05-2015,1399
"Eggs, Meat & Fish",04-05-2015,933
Beverages,04-05-2015,1055
Oil & Masala,04-05-2015,1347
Fruits & Veggies,05-05-2015,1094
"Eggs, Meat & Fish",05-05-2015,1173
Oil & Masala,05-05-2015,1245
Snacks,05-05-2015,1756
Oil & Masala,05-05-2015,2240
Oil & Masala,05-05-2015,1898
Food Grains,05-05-2015,2155
Oil & Masala,06-05-2015,1098
Food Grains,06-05-2015,1398
Bakery,06-05-2015,1015
"Eggs, Meat & Fish",07-05-2015,989
Fruits & Veggies,07-05-2015,512
Beverages,07-05-2015,815
Oil & Masala,07-05-2015,1195
Oil & Masala,08-05-2015,828
Snacks,09-05-2015,1291
Bakery,09-05-2015,1904
Oil & Masala,09-05-2015,2357
"Eggs, Meat & Fish",09-05-2015,1343
Snacks,09-05-2015,506
Fruits & Veggies,09-05-2015,968
Fruits & Veggies,10-05-2015,1259
"Eggs, Meat & Fish",10-05-2015,2038
"Eggs, Meat & Fish",10-05-2015,2442
Oil & Masala,10-05-2015,1561
"Eggs, Meat & Fish",10-05-2015,950
Snacks,10-05-2015,1272
Oil & Masala,10-05-2015,851
Beverages,10-05-2015,1525
Fruits & Veggies,11-05-2015,1519
Snacks,11-05-2015,2289
Bakery,11-05-2015,653
"Eggs, Meat & Fish",11-05-2015,627
Fruits & Veggies,11-05-2015,973
"Eggs, Meat & Fish",11-05-2015,2017
Fruits & Veggies,11-05-2015,898
Bakery,11-05-2015,2143
Food Grains,12-05-2015,1270
Oil & Masala,12-05-2015,905
"Eggs, Meat & Fish",13-05-2015,1024
Fruits & Veggies,13-05-2015,2061
Beverages,13-05-2015,1617
"Eggs, Meat & Fish",13-05-2015,1568
Fruits & Veggies,13-05-2015,899
"Eggs, Meat & Fish",13-05-2015,1705
Food Grains,14-05-2015,1000
Beverages,16-05-2015,734
Beverages,16-05-2015,582
Snacks,17-05-2015,767
Beverages,18-05-2015,1370
Oil & Masala,18-05-2015,1734
"Eggs, Meat & Fish",18-05-2015,635
Beverages,18-05-2015,757
Food Grains,19-05-2015,1464
Beverages,19-05-2015,610
Oil & Masala,20-05-2015,640
Fruits & Veggies,20-05-2015,2331
Snacks,20-05-2015,1925
Snacks,20-05-2015,619
Fruits & Veggies,20-05-2015,2104
Food Grains,20-05-2015,508
Snacks,20-05-2015,656
Beverages,21-05-2015,1064
Food Grains,21-05-2015,2352
Food Grains,21-05-2015,2016
"Eggs, Meat & Fish",21-05-2015,1220
Snacks,21-05-2015,807
Beverages,21-05-2015,593
Fruits & Veggies,21-05-2015,575
Bakery,21-05-2015,1500
Beverages,21-05-2015,1377
Bakery,21-05-2015,511
"Eggs, Meat & Fish",22-05-2015,983
Oil & Masala,22-05-2015,1798
Fruits & Veggies,23-05-2015,580
"Eggs, Meat & Fish",23-05-2015,1895
Oil & Masala,23-05-2015,1426
Oil & Masala,23-05-2015,2238
Snacks,23-05-2015,1811
Oil & Masala,23-05-2015,573
Bakery,23-05-2015,520
Bakery,24-05-2015,1505
Food Grains,25-05-2015,592
Bakery,25-05-2015,939
Bakery,25-05-2015,1127
Fruits & Veggies,26-05-2015,1309
Oil & Masala,26-05-2015,2305
Beverages,26-05-2015,661
Fruits & Veggies,26-05-2015,1546
"Eggs, Meat & Fish",26-05-2015,2090
Snacks,26-05-2015,720
Beverages,26-05-2015,2405
Oil & Masala,26-05-2015,1980
Fruits & Veggies,27-05-2015,2351
Oil & Masala,27-05-2015,637
"Eggs, Meat & Fish",27-05-2015,1878
"Eggs, Meat & Fish",27-05-2015,516
"Eggs, Meat & Fish",27-05-2015,1841
Fruits & Veggies,28-05-2015,901
Beverages,28-05-2015,2444
Oil & Masala,28-05-2015,2115
Bakery,30-05-2015,1239
Snacks,30-05-2015,2031
Food Grains,30-05-2015,1824
Fruits & Veggies,30-05-2015,1862
Bakery,30-05-2015,704
Beverages,30-05-2015,1235
Oil & Masala,30-05-2015,1979
Snacks,30-05-2015,2207
Fruits & Veggies,31-05-2015,1597
"Eggs, Meat & Fish",31-05-2015,2075
"Eggs, Meat & Fish",01-06-2015,2318
Oil & Masala,01-06-2015,1677
Fruits & Veggies,01-06-2015,2396
Bakery,01-06-2015,894
Bakery,01-06-2015,1666
Beverages,01-06-2015,815
Beverages,01-06-2015,538
Bakery,01-06-2015,817
Snacks,01-06-2015,1556
"Eggs, Meat & Fish",01-06-2015,2462
Fruits & Veggies,01-06-2015,962
Bakery,02-06-2015,2114
"Eggs, Meat & Fish",02-06-2015,544
Snacks,02-06-2015,1065
Oil & Masala,02-06-2015,1574
Fruits & Veggies,02-06-2015,1271
Food Grains,03-06-2015,1789
Oil & Masala,03-06-2015,799
Food Grains,03-06-2015,794
"Eggs, Meat & Fish",03-06-2015,2368
Snacks,03-06-2015,2491
Oil & Masala,04-06-2015,1566
Bakery,04-06-2015,2122
Fruits & Veggies,04-06-2015,1990
Food Grains,04-06-2015,760
Bakery,04-06-2015,832
Bakery,06-06-2015,1885
Oil & Masala,06-06-2015,1623
Oil & Masala,06-06-2015,1660
Bakery,06-06-2015,2493
Fruits & Veggies,06-06-2015,959
Fruits & Veggies,06-06-2015,2327
"Eggs, Meat & Fish",06-06-2015,1857
Beverages,06-06-2015,908
Snacks,06-06-2015,657
Oil & Masala,07-06-2015,1912
Snacks,07-06-2015,1857
Beverages,08-06-2015,537
Food Grains,08-06-2015,1593
Oil & Masala,08-06-2015,1008
Oil & Masala,08-06-2015,2375
Food Grains,09-06-2015,1426
Bakery,09-06-2015,1263
Fruits & Veggies,09-06-2015,1847
Fruits & Veggies,09-06-2015,826
"Eggs, Meat & Fish",09-06-2015,701
Snacks,09-06-2015,1903
Bakery,09-06-2015,697
Bakery,09-06-2015,1795
Food Grains,09-06-2015,2305
Fruits & Veggies,09-06-2015,1355
Bakery,09-06-2015,791
Bakery,09-06-2015,726
Bakery,09-06-2015,1917
Snacks,09-06-2015,2232
Snacks,09-06-2015,1637
"Eggs, Meat & Fish",09-06-2015,1813
Food Grains,10-06-2015,829
"Eggs, Meat & Fish",13-06-2015,674
Fruits & Veggies,14-06-2015,563
Beverages,15-06-2015,2078
"Eggs, Meat & Fish",15-06-2015,1539
Beverages,15-06-2015,1008
Oil & Masala,15-06-2015,2459
"Eggs, Meat & Fish",16-06-2015,2126
Beverages,16-06-2015,2083
Snacks,16-06-2015,1872
"Eggs, Meat & Fish",16-06-2015,2346
"Eggs, Meat & Fish",17-06-2015,1426
"Eggs, Meat & Fish",17-06-2015,1990
"Eggs, Meat & Fish",17-06-2015,2251
"Eggs, Meat & Fish",17-06-2015,2157
Snacks,17-06-2015,674
"Eggs, Meat & Fish",18-06-2015,1151
Bakery,20-06-2015,1866
Bakery,20-06-2015,2017
Snacks,20-06-2015,637
"Eggs, Meat & Fish",20-06-2015,1636
"Eggs, Meat & Fish",20-06-2015,717
Food Grains,20-06-2015,1512
Snacks,20-06-2015,2372
Snacks,20-06-2015,560
Beverages,20-06-2015,797
"Eggs, Meat & Fish",21-06-2015,1044
Oil & Masala,21-06-2015,1331
Food Grains,21-06-2015,1874
Fruits & Veggies,21-06-2015,1951
"Eggs, Meat & Fish",21-06-2015,741
Food Grains,21-06-2015,2427
"Eggs, Meat & Fish",21-06-2015,1163
Bakery,21-06-2015,1614
Snacks,21-06-2015,1775
"Eggs, Meat & Fish",21-06-2015,1944
"Eggs, Meat & Fish",21-06-2015,998
Snacks,21-06-2015,615
Snacks,21-06-2015,2073
Bakery,21-06-2015,2011
Food Grains,21-06-2015,2231
Oil & Masala,21-06-2015,2101
Food Grains,21-06-2015,2370
"Eggs, Meat & Fish",21-06-2015,1065
Bakery,22-06-2015,1204
Food Grains,22-06-2015,1173
Snacks,22-06-2015,2027
Fruits & Veggies,22-06-2015,1621
"Eggs, Meat & Fish",22-06-2015,750
Snacks,22-06-2015,1728
Oil & Masala,22-06-2015,1465
Oil & Masala,23-06-2015,1000
Food Grains,23-06-2015,502
Fruits & Veggies,23-06-2015,2050
Fruits & Veggies,24-06-2015,2032
"Eggs, Meat & Fish",25-06-2015,2072
Beverages,25-06-2015,691
Oil & Masala,25-06-2015,617
Bakery,25-06-2015,2321
Beverages,27-06-2015,2179
Fruits & Veggies,27-06-2015,1624
Snacks,27-06-2015,2295
Beverages,28-06-2015,2313
Fruits & Veggies,28-06-2015,1278
Bakery,28-06-2015,2081
Beverages,28-06-2015,1152
Fruits & Veggies,28-06-2015,1831
Snacks,28-06-2015,2166
Beverages,29-06-2015,870
Snacks,29-06-2015,1026
Beverages,30-06-2015,2121
"Eggs, Meat & Fish",30-06-2015,916
Bakery,30-06-2015,2091
Food Grains,30-06-2015,925
"Eggs, Meat & Fish",30-06-2015,1009
Oil & Masala,30-06-2015,2484
Beverages,30-06-2015,820
Oil & Masala,30-06-2015,1897
Food Grains,01-07-2015,1596
Food Grains,01-07-2015,1685
Snacks,01-07-2015,2150
Snacks,02-07-2015,1647
Oil & Masala,02-07-2015,929
Beverages,04-07-2015,632
Food Grains,04-07-2015,2284
Snacks,04-07-2015,1071
Bakery,04-07-2015,2011
Food Grains,05-07-2015,568
Bakery,05-07-2015,2142
Oil & Masala,05-07-2015,960
Food Grains,05-07-2015,1848
Oil & Masala,05-07-2015,1092
"Eggs, Meat & Fish",05-07-2015,2475
Oil & Masala,05-07-2015,1130
Bakery,05-07-2015,949
Bakery,05-07-2015,1589
Food Grains,05-07-2015,1380
"Eggs, Meat & Fish",06-07-2015,2420
Snacks,06-07-2015,1645
"Eggs, Meat & Fish",07-07-2015,865
"Eggs, Meat & Fish",07-07-2015,1801
Fruits & Veggies,08-07-2015,2455
"Eggs, Meat & Fish",08-07-2015,504
Fruits & Veggies,08-07-2015,1998
Food Grains,09-07-2015,1337
Snacks,09-07-2015,1061
Bakery,09-07-2015,1694
Food Grains,09-07-2015,786
Food Grains,09-07-2015,2070
Snacks,09-07-2015,1883
"Eggs, Meat & Fish",09-07-2015,1853
Fruits & Veggies,09-07-2015,1764
Fruits & Veggies,09-07-2015,2159
"Eggs, Meat & Fish",11-07-2015,2153
Food Grains,11-07-2015,754
"Eggs, Meat & Fish",11-07-2015,1848
Bakery,11-07-2015,2245
Oil & Masala,11-07-2015,1818
Food Grains,11-07-2015,1271
Beverages,11-07-2015,1580
"Eggs, Meat & Fish",11-07-2015,1329
Bakery,11-07-2015,1653
Snacks,11-07-2015,1046
Food Grains,12-07-2015,971
"Eggs, Meat & Fish",12-07-2015,1431
"Eggs, Meat & Fish",12-07-2015,2244
Food Grains,12-07-2015,2050
Bakery,12-07-2015,2303
Oil & Masala,12-07-2015,895
Snacks,12-07-2015,2113
Fruits & Veggies,12-07-2015,2156
Bakery,12-07-2015,1179
Bakery,12-07-2015,1195
Food Grains,12-07-2015,1127
Fruits & Veggies,12-07-2015,571
Oil & Masala,13-07-2015,947
Beverages,14-07-2015,931
Fruits & Veggies,14-07-2015,1168
Beverages,14-07-2015,849
Snacks,14-07-2015,2038
Food Grains,14-07-2015,833
Food Grains,14-07-2015,1500
Food Grains,14-07-2015,1322
Snacks,14-07-2015,2310
Food Grains,14-07-2015,592
Food Grains,15-07-2015,1617
Fruits & Veggies,15-07-2015,1911
Bakery,18-07-2015,1741
Bakery,18-07-2015,1840
Food Grains,19-07-2015,1074
Beverages,19-07-2015,1753
Oil & Masala,19-07-2015,1178
"Eggs, Meat & Fish",19-07-2015,552
"Eggs, Meat & Fish",19-07-2015,2406
Oil & Masala,20-07-2015,1414
Oil & Masala,20-07-2015,2429
Fruits & Veggies,20-07-2015,823
Oil & Masala,20-07-2015,589
Fruits & Veggies,20-07-2015,876
Oil & Masala,20-07-2015,2074
Bakery,20-07-2015,1393
Bakery,20-07-2015,2304
Food Grains,20-07-2015,2134
"Eggs, Meat & Fish",20-07-2015,1104
Bakery,20-07-2015,2458
Snacks,20-07-2015,2001
Food Grains,20-07-2015,1368
Fruits & Veggies,20-07-2015,1008
Snacks,20-07-2015,1790
Beverages,21-07-2015,1892
Beverages,21-07-2015,1237
Beverages,21-07-2015,703
Bakery,21-07-2015,886
Snacks,21-07-2015,1341
Bakery,21-07-2015,1279
Food Grains,21-07-2015,2144
Oil & Masala,21-07-2015,2345
Fruits & Veggies,22-07-2015,2331
Bakery,22-07-2015,673
Oil & Masala,22-07-2015,1878
"Eggs, Meat & Fish",22-07-2015,1667
Beverages,22-07-2015,1188
Oil & Masala,22-07-2015,1924
Food Grains,22-07-2015,2092
Food Grains,22-07-2015,1707
"Eggs, Meat & Fish",23-07-2015,2278
Bakery,23-07-2015,1665
Beverages,23-07-2015,1309
Oil & Masala,23-07-2015,905
Snacks,23-07-2015,826
Bakery,23-07-2015,1917
"Eggs, Meat & Fish",23-07-2015,2271
Snacks,23-07-2015,809
Oil & Masala,23-07-2015,2331
Food Grains,25-07-2015,559
Fruits & Veggies,25-07-2015,2263
Fruits & Veggies,25-07-2015,705
Oil & Masala,25-07-2015,500
Bakery,25-07-2015,1653
Food Grains,26-07-2015,1532
Bakery,26-07-2015,1118
